text,xmin,ymin,xmax,ymax,label,start,end,score,page
Abu Dhabi,0.223137,0.650606,0.300784,0.66,LOCATION,0,9,0.85,4
Sister City,0.665098,0.691212,0.741176,0.70303,LOCATION,62,73,0.85,4
Mohammed bin Butti Al Hamed Lee,0.317255,0.80697,0.764314,0.817576,PERSON,7,38,0.85,4
Lee,0.730588,0.80697,0.764314,0.816667,PERSON,7,38,0.85,4
Mohammed bin Butti Al Hamed,0.317255,0.807273,0.612157,0.817576,PERSON,7,38,0.85,4
Abu Dhabi Municipality,0.367451,0.824242,0.588235,0.836364,LOCATION,12,34,0.85,4
THe City OF New Yor«,0.439608,0.262424,0.679216,0.271818,LOCATION,0,20,0.85,5
New York,0.461961,0.293939,0.542039,0.301515,LOCATION,0,8,0.85,5
N.Y,0.564314,0.293939,0.586078,0.301515,LOCATION,10,14,0.85,5
NEW YORK CITY-LONDON,0.315686,0.356364,0.572549,0.367576,LOCATION,4,18,0.85,5
New York City,0.492941,0.40303,0.612941,0.415152,LOCATION,36,49,0.85,5
London,0.652549,0.403333,0.712549,0.41303,LOCATION,54,60,0.85,5
Sister City,0.238824,0.404545,0.322353,0.416364,LOCATION,4,15,0.85,5
Sister City,0.35098,0.434242,0.433333,0.446667,LOCATION,18,29,0.85,5
New York City,0.758039,0.480909,0.88,0.493636,LOCATION,62,75,0.85,5
London,0.657255,0.481515,0.718431,0.491212,LOCATION,51,57,0.85,5
New York City,0.709412,0.64,0.832157,0.652424,LOCATION,59,72,0.85,5
London,0.610588,0.640909,0.670196,0.650606,LOCATION,48,54,0.85,5
Sister City,0.323529,0.673333,0.40549,0.685758,LOCATION,7,18,0.85,5
the City of New York,0.579608,0.703636,0.750588,0.716061,LOCATION,46,66,0.85,5
London,0.200392,0.721212,0.261176,0.731212,LOCATION,0,6,0.85,5
Jy W,0.232157,0.822424,0.311961,0.892727,PERSON,0,4,0.85,5
W. Giuliani Ken Livingston,0.332941,0.878485,0.795686,0.890909,PERSON,0,26,0.85,5
Ken Livingston,0.673333,0.878485,0.795686,0.890909,PERSON,0,26,0.85,5
W . Giuliani,0.332941,0.878788,0.422745,0.889091,PERSON,0,26,0.85,5
New York City,0.28902,0.910303,0.408627,0.922424,LOCATION,0,13,0.85,5
Tas,0.179216,0.27697,0.216078,0.292727,PERSON,0,3,0.85,6
the,0.528627,0.354242,0.548627,0.362121,LOCATION,10,13,0.85,6
City of Long Beach,0.381176,0.379697,0.631373,0.395455,LOCATION,0,18,0.85,6
California,0.401569,0.398485,0.531693,0.413636,LOCATION,0,10,0.85,6
USA,0.560784,0.398788,0.610588,0.410303,LOCATION,12,15,0.85,6
the,0.513333,0.416364,0.532941,0.423636,LOCATION,4,7,0.85,6
City of San Pablo de Manta,0.323137,0.43,0.690588,0.445455,LOCATION,0,26,0.85,6
South America,0.47451,0.448788,0.664314,0.460606,LOCATION,9,22,0.85,6
Ecuador,0.348627,0.449091,0.445735,0.462121,LOCATION,0,7,0.85,6
ia USA and the City of San,0.268627,0.493333,0.448235,0.50697,LOCATION,0,7,0.85,6
the City of San,0.32902,0.493333,0.448235,0.50697,LOCATION,18,33,0.85,6
Cali ia,0.218431,0.493939,0.277516,0.50303,LOCATION,0,7,0.85,6
Cali,0.218431,0.493939,0.242353,0.502121,LOCATION,0,7,0.85,6
USA,0.289412,0.494242,0.313824,0.50303,LOCATION,9,12,0.85,6
patel cea,0.627843,0.533636,0.718431,0.552727,PERSON,34,43,0.85,6
a patel,0.627843,0.533636,0.672157,0.552727,PERSON,34,43,0.85,6
cea,0.7,0.533636,0.718431,0.552727,PERSON,34,43,0.85,6
se Digger,0.489804,0.574545,0.541569,0.593636,PERSON,39,48,0.85,6
California,0.643922,0.656061,0.702389,0.667576,LOCATION,31,41,0.85,6
Long Beach,0.664706,0.752121,0.752941,0.764545,LOCATION,7,17,0.85,6
California,0.583922,0.767273,0.659857,0.777879,LOCATION,0,10,0.85,6
Jorge O . Zambrano,0.561569,0.825455,0.70902,0.839091,PERSON,5,22,0.85,6
South America,0.625882,0.855455,0.739216,0.864545,LOCATION,9,22,0.85,6
RICHARD M . DALEY,0.557647,0.215758,0.731765,0.226364,PERSON,25,41,0.85,7
CHICAGO,0.576471,0.231818,0.658039,0.242727,LOCATION,9,16,0.85,7
ZHANG RONGMAO,0.563922,0.261818,0.724706,0.272424,PERSON,18,31,0.85,7
SHENYANG,0.567059,0.274545,0.665882,0.284848,LOCATION,9,17,0.85,7
tn,0.788627,0.363939,0.803137,0.373636,LOCATION,71,73,0.85,7
Chicago,0.527451,0.381212,0.587451,0.394242,LOCATION,43,50,0.85,7
Shenyang,0.629412,0.381515,0.702745,0.393939,LOCATION,55,63,0.85,7
the Honorable Zhang Rongmao,0.623529,0.412121,0.859314,0.424545,PERSON,56,79,0.85,7
Richard M . Daley,0.200784,0.412424,0.332026,0.423939,PERSON,0,16,0.85,7
of the City of Chicago,0.403529,0.41303,0.572353,0.425758,LOCATION,27,46,0.85,7
the City of Shenyang,0.220784,0.428485,0.371895,0.440909,LOCATION,3,23,0.85,7
the City of Shenyang,0.615686,0.444242,0.765621,0.457576,LOCATION,56,76,0.85,7
the City of Chicago,0.431765,0.444848,0.576863,0.457879,LOCATION,32,51,0.85,7
The City of Chicago,0.257647,0.475455,0.415294,0.488788,LOCATION,0,19,0.85,7
the City of Shenyang,0.461569,0.476061,0.63098,0.489091,LOCATION,24,44,0.85,7
RONGMAO,0.792157,0.820303,0.876471,0.829697,PERSON,40,47,0.85,7
RICHARD M,0.340392,0.822424,0.428627,0.831515,PERSON,9,19,0.85,7
SHENYANG,0.676863,0.836061,0.765098,0.845758,LOCATION,26,34,0.85,7
CHICAGO,0.286667,0.836667,0.360392,0.846061,LOCATION,9,16,0.85,7
